# BEEF ########################################################################################################################
# BEEF This line shows the Bayesian error estimations and the current threshold criterion.
# BEEF 
# BEEF nstep ............ MD time step or input structure counter
# BEEF bee_energy ....... BEE of energy per atom (eV atom^-1)
# BEEF bee_max_force .... BEE of forces (max) (eV Angst^-1)
# BEEF bee_ave_force .... BEE of forces (average) (kB)
# BEEF threshold ........ Current value of threshold criterion (eV Angst^-1)
# BEEF bee_max_stress ... BEE of stresses (max) (kB)
# BEEF bee_ave_stress ... BEE of stresses (average) (kB)
# BEEF ########################################################################################################################
# BEEF              nstep       bee_energy    bee_max_force    bee_ave_force        threshold   bee_max_stress   bee_ave_stress
# BEEF                  2                3                4                5                6                7                8
# BEEF ########################################################################################################################
BEEF                  127   1.45902891E-05   1.48132596E-02   5.72400418E-03   1.13926393E-02   4.01792466E-01   2.96419560E-01
BEEF                  128   1.42503556E-05   1.51178768E-02   5.66650413E-03   1.13926393E-02   3.66870449E-01   2.69177185E-01
BEEF                  129   1.41030403E-05   1.56211387E-02   5.70002295E-03   1.13926393E-02   3.35237838E-01   2.43109570E-01
BEEF                  130   1.42090196E-05   1.63284549E-02   5.85582261E-03   1.13926393E-02   3.10465370E-01   2.26267006E-01
BEEF                  131   1.45074936E-05   1.69731437E-02   6.08207229E-03   1.13926393E-02   3.05593978E-01   2.26683335E-01
BEEF                  132   1.47986120E-05   1.74125787E-02   6.29062332E-03   1.13926393E-02   3.28714491E-01   2.40088996E-01
BEEF                  133   1.50984895E-05   1.75826986E-02   6.47384913E-03   1.13926393E-02   3.66781947E-01   2.66446262E-01
BEEF                  134   1.53802803E-05   1.74260101E-02   6.59955619E-03   1.13926393E-02   4.16292832E-01   3.02969356E-01
BEEF                  135   1.54101818E-05   1.65813877E-02   6.53121275E-03   1.13926393E-02   4.50207639E-01   3.26380964E-01
BEEF                  136   1.52522672E-05   1.52616250E-02   6.33411793E-03   1.13926393E-02   4.71858004E-01   3.38647943E-01
BEEF                  137   1.48021427E-05   1.33680656E-02   5.96332755E-03   1.13926393E-02   4.65291152E-01   3.26217958E-01
BEEF                  138   1.43672493E-05   1.14146394E-02   5.56782543E-03   1.13926393E-02   4.54976647E-01   3.06291908E-01
BEEF                  139   1.40489489E-05   1.12651977E-02   5.26757408E-03   1.13926393E-02   4.47038615E-01   2.90195379E-01
BEEF                  140   1.37987368E-05   1.14274522E-02   5.06010374E-03   1.13926393E-02   4.43071593E-01   2.79829660E-01
BEEF                  141   1.37243926E-05   1.16787106E-02   4.98662758E-03   1.13926393E-02   4.47621380E-01   2.80128994E-01
BEEF                  142   1.37039619E-05   1.19700590E-02   5.01994923E-03   1.13926393E-02   4.53872038E-01   2.89047499E-01
BEEF                  143   1.37391729E-05   1.23038219E-02   5.17005342E-03   1.13926393E-02   4.63425632E-01   3.08104419E-01
BEEF                  144   1.40119375E-05   1.26972389E-02   5.43827200E-03   1.13926393E-02   4.88659644E-01   3.40239590E-01
BEEF                  145   1.43499751E-05   1.30063802E-02   5.73619571E-03   1.13926393E-02   5.15161210E-01   3.70649095E-01
BEEF                  146   1.43281711E-05   1.28974036E-02   5.90500981E-03   1.13926393E-02   5.21090593E-01   3.79350384E-01
BEEF                  147   1.40459433E-05   1.34897737E-02   5.96530364E-03   1.13926393E-02   5.09700911E-01   3.72864676E-01
BEEF                  148   1.33296752E-05   1.38149983E-02   5.84090850E-03   1.13926393E-02   4.69259410E-01   3.40705499E-01
BEEF                  149   1.26136389E-05   1.37701846E-02   5.61792221E-03   1.13926393E-02   4.17952977E-01   2.99824988E-01
BEEF                  150   1.19326680E-05   1.34481322E-02   5.30619436E-03   1.13926393E-02   3.56293115E-01   2.52859424E-01
BEEF                  151   1.14238856E-05   1.29356542E-02   4.97241999E-03   1.13926393E-02   3.00313730E-01   2.12817629E-01
BEEF                  152   1.10204310E-05   1.22363435E-02   4.62865036E-03   1.13926393E-02   2.47394754E-01   1.78364443E-01
BEEF                  153   1.07205913E-05   1.13722673E-02   4.28399895E-03   1.13926393E-02   2.02513017E-01   1.51730103E-01
BEEF                  154   1.04897905E-05   1.02825882E-02   3.92586732E-03   1.13926393E-02   1.69734142E-01   1.34104378E-01
BEEF                  155   1.03348620E-05   8.96829744E-03   3.54942756E-03   1.13926393E-02   1.75592790E-01   1.34007203E-01
BEEF                  156   1.03175838E-05   7.64673689E-03   3.20948227E-03   1.13926393E-02   2.04304631E-01   1.51218304E-01
BEEF                  157   1.04318847E-05   6.58782329E-03   2.95470713E-03   1.13926393E-02   2.46421559E-01   1.75891787E-01
BEEF                  158   1.05455494E-05   5.75529981E-03   2.74597437E-03   1.13926393E-02   2.80709776E-01   1.93842308E-01
BEEF                  159   1.06166340E-05   5.80869827E-03   2.58809485E-03   1.13926393E-02   3.09110561E-01   2.06856235E-01
BEEF                  160   1.06500259E-05   5.67471875E-03   2.51936155E-03   1.13926393E-02   3.31627720E-01   2.15375764E-01
BEEF                  161   1.05882483E-05   5.39479734E-03   2.51103442E-03   1.13926393E-02   3.39481705E-01   2.14631619E-01
BEEF                  162   1.04917083E-05   5.14283573E-03   2.59566685E-03   1.13926393E-02   3.43216672E-01   2.09705401E-01
BEEF                  163   1.05202824E-05   5.78355215E-03   2.80554063E-03   1.13926393E-02   3.59630484E-01   2.09433881E-01
BEEF                  164   1.07211078E-05   6.59908442E-03   3.15175031E-03   1.13926393E-02   3.89196955E-01   2.16092475E-01
BEEF                  165   1.09654764E-05   7.59448935E-03   3.56501122E-03   1.13926393E-02   4.15671615E-01   2.25104957E-01
BEEF                  166   1.12895508E-05   8.53966257E-03   4.02901651E-03   1.13926393E-02   4.49394971E-01   2.41853576E-01
BEEF                  167   1.16153174E-05   9.30612410E-03   4.45573496E-03   1.13926393E-02   4.82872753E-01   2.62026223E-01
BEEF                  168   1.19626290E-05   9.78177572E-03   4.78723465E-03   1.13926393E-02   5.12321456E-01   2.80731332E-01
BEEF                  169   1.22964074E-05   1.00902064E-02   5.03789856E-03   1.13926393E-02   5.36009341E-01   2.97143919E-01
